year,total_permitted,sf,mf,population,households,hh_growth,permit_to_hh_ratio,units_per_1k_pop,total_units,occupied,vacant,vacancy_rate,owner_occ,renter_occ,owner_pct,med_income,owner_income,renter_income
1980,1307,55,1252,,,,,,,,,,,,,,,
1981,473,69,404,,,,,,,,,,,,,,,
1982,405,0,405,,,,,,,,,,,,,,,
1983,507,69,438,,,,,,,,,,,,,,,
1992,100,46,54,,,,,,,,,,,,,,,
1997,249,85,164,,,,,,,,,,,,,,,
1998,757,88,669,,,,,,,,,,,,,,,
1999,1147,127,1020,,,,,,,,,,,,,,,
2000,567,96,471,,,,,,,,,,,,,,,
2001,883,78,805,,,,,,,,,,,,,,,
2002,772,71,701,,,,,,,,,,,,,,,
2003,1508,100,1408,,,,,,,,,,,,,,,
2004,1079,102,977,,,,,,,,,,,,,,,
2006,2419,94,2325,,,,,,,,,,,,,,,
2007,1041,48,993,,,,,,,,,,,,,,,
2012,1776,40,1736,751103,287442,,,2.36,314385,287442,26943,8.57,102742,184700,35.74,52700,91309,36418
2013,2561,34,2527,762488,288240,798,3.21,3.36,314929,288240,26689,8.47,102413,185827,35.53,53540,90944,37662
2014,2841,48,2793,773630,290631,2391,1.19,3.67,316000,290631,25369,8.03,103236,187395,35.52,54169,92257,37660
2015,4955,48,4907,782591,296672,6041,0.82,6.33,321386,296672,24714,7.69,105671,191001,35.62,55044,92287,38960
2016,3348,56,3292,792576,299658,2986,1.12,4.22,324390,299658,24732,7.62,107263,192395,35.8,57439,95566,40524
2017,5085,52,5033,800806,303676,4018,1.27,6.35,328662,303676,24986,7.6,110361,193315,36.34,61242,100802,42050
2018,3602,49,3553,803147,307870,4194,0.86,4.48,333238,307870,25368,7.61,111194,196676,36.12,64582,106101,44397
2019,2993,37,2956,803907,309844,1974,1.52,3.72,337251,309844,27407,8.13,111811,198033,36.09,69669,111962,48583
2020,3532,24,3508,675647,312978,3134,1.13,,341231,312978,28253,8.28,113736,199242,36.34,74881,118213,52306
2021,3512,53,3459,669538,315192,2214,1.59,,346557,315192,31365,9.05,114012,201180,36.17,80260,126138,56282
2022,3935,53,3882,672304,319307,4115,0.96,,350419,319307,31112,8.88,115640,203667,36.22,87669,137302,62362
2023,2051,108,1943,668061,322184,2877,0.71,,353930,322184,31746,8.97,117938,204246,36.61,92859,145174,67278
2024,1789,72,1717,,,,,,,,,,,,,,,
