year,annual_avg_30yr_fixed_pct,weeks_in_average
1971,7.542,40
1972,7.383,52
1973,8.045,52
1974,9.187,52
1975,9.047,52
1976,8.866,53
1977,8.845,52
1978,9.642,52
1979,11.204,52
1980,13.74,52
1981,16.642,53
1982,16.044,52
1983,13.235,52
1984,13.878,52
1985,12.43,52
1986,10.187,52
1987,10.213,53
1988,10.342,52
1989,10.319,52
1990,10.129,52
1991,9.247,52
1992,8.39,53
1993,7.315,52
1994,8.381,52
1995,7.935,52
1996,7.806,52
1997,7.599,52
1998,6.943,53
1999,7.44,52
2000,8.053,52
2001,6.968,52
2002,6.537,52
2003,5.827,53
2004,5.839,52
2005,5.867,52
2006,6.413,52
2007,6.337,52
2008,6.027,53
2009,5.037,52
2010,4.69,52
2011,4.448,52
2012,3.657,52
2013,3.976,52
2014,4.169,53
2015,3.851,52
2016,3.654,52
2017,3.99,52
2018,4.545,52
2019,3.936,52
2020,3.112,53
2021,2.958,52
2022,5.344,52
2023,6.807,52
2024,6.721,52
2025,6.595,53
2026,6.071,10
