year,nar_first_time_buyer_age,ny_fed_first_time_buyer_age,first_time_buyer_share_pct,homeownership_rate_pct,renter_rate_pct,owner_occupied_units,renter_occupied_units,median_household_income,median_earnings_fulltime,median_gross_rent_monthly,median_home_value_acs,median_sale_price,median_sale_price_source,case_shiller_boston_hpi,mortgage_rate_30yr_fixed,monthly_mortgage_est,income_needed_28pct_rule,affordability_gap_vs_hh,affordability_gap_vs_earner,price_to_income_ratio_hh,price_to_income_ratio_earn,annual_rent_pct_hh_income,annual_rent_pct_earner,acs_source
2005,32,,40,32.0,68.0,78400,166600,44500,35000,1050,310000,385000,MAR est.,179.63,5.867,1820,78000,33500,43000,8.65,11.0,28.3,36.0,compiled est.
2006,,,,32.0,68.02,79000,168000,47100,36000,1075,340000,390000,MAR est.,176.31,6.413,1954,83743,36643,47743,8.28,10.83,27.4,35.8,compiled est.
2007,31,,39,32.0,67.98,79400,168600,49400,37500,1100,370000,380000,MAR est.,169.26,6.337,1889,80957,31557,43457,7.69,10.13,26.7,35.2,compiled est.
2008,,,,32.0,67.99,79700,169300,51200,38000,1150,355000,350000,MAR est. — GFC correction,159.69,6.027,1684,72171,20971,34171,6.84,9.21,27.0,36.3,compiled est.
2009,30,,47,32.0,68.0,80000,170000,49900,37000,1160,325000,375000,PropertyShark confirmed,151.81,5.037,1617,69300,19400,32300,7.52,10.14,27.9,37.6,compiled est.
2010,30,,50,32.0,68.01,80300,170700,51000,37500,1175,330000,360000,PropertyShark/MAR,154.7,4.69,1492,63943,12943,26443,7.06,9.6,27.6,37.6,compiled est.
2011,31,,37,32.0,68.02,80600,171400,52000,38000,1200,320000,345000,PropertyShark/MAR — post-GFC trough,151.61,4.448,1390,59571,7571,21571,6.63,9.08,27.7,37.9,compiled est.
2012,31,,39,31.9,68.15,80900,173100,53400,38500,1230,325000,391333,Redfin Data Center (monthly avg),152.31,3.657,1433,61414,8014,22914,7.33,10.16,27.6,38.3,compiled est.
2013,31,,38,31.7,68.32,81100,174900,55400,39500,1270,365000,429917,Redfin Data Center (monthly avg),163.3,3.976,1637,70157,14757,30657,7.76,10.88,27.5,38.6,compiled est.
2014,31,,33,31.6,68.37,81300,175700,57300,40500,1330,390000,475333,Redfin Data Center (monthly avg),173.67,4.169,1853,79414,22114,38914,8.3,11.74,27.9,39.4,compiled est.
2015,31,,32,31.6,68.41,81500,176500,59400,42000,1380,420000,519500,Redfin Data Center (monthly avg),180.69,3.851,1949,83529,24129,41529,8.75,12.37,27.9,39.4,compiled est.
2016,32,,35,31.4,68.58,81700,178300,62000,44000,1430,450000,565583,Redfin Data Center (monthly avg),189.13,3.654,2071,88757,26757,44757,9.12,12.85,27.7,39.0,compiled est.
2017,32,,34,31.3,68.7,82000,180000,65100,46000,1460,480000,610667,Redfin Data Center (monthly avg),201.77,3.99,2330,99857,34757,53857,9.38,13.28,26.9,38.1,compiled est.
2018,32,,33,31.1,68.86,82200,181800,68700,48500,1510,510000,663500,Redfin Data Center (monthly avg),213.4,4.545,2704,115886,47186,67386,9.66,13.68,26.4,37.4,compiled est.
2019,33,,33,31.2,68.81,82900,182900,71834,51000,1579,540000,670917,Redfin Data Center (monthly avg),221.48,3.936,2543,108986,37152,57986,9.34,13.16,26.4,37.2,ACS 1-yr confirmed (DeptNumbers)
2020,33,,31,,,,,,,,,687833,Redfin Data Center (monthly avg),235.45,3.112,2353,100843,,,,,,,no acs data (2020 gap)
2021,33,33.5,34,31.1,68.84,83500,184500,76000,54000,1650,590000,728583,Redfin Data Center (monthly avg),272.37,2.958,2444,104743,28743,50743,9.59,13.49,26.1,36.7,compiled est.
2022,36,34.2,26,31.2,68.81,84200,185800,80300,57000,1850,650000,760417,Redfin Data Center (monthly avg),304.2,5.344,3395,145500,65200,88500,9.47,13.34,27.6,38.9,compiled est.
2023,35,35.1,32,31.8,68.18,87500,187500,94755,62000,1950,710000,786083,Redfin Data Center (monthly avg),314.24,6.807,4103,175843,81088,113843,8.3,12.68,24.7,37.7,ACS 1-yr; income confirmed Data USA
2024,38,36.3,24,35.7,64.3,101145,181855,97344,,2100,731700,809333,Redfin Data Center (monthly avg),334.5,6.721,4187,179443,82099,,8.31,,25.9,,ACS 5-yr (2019-2023 rolling); confirmed Census QuickFacts + Data USA
2025,40,,21,,,,,,,,,839667,Redfin Data Center (monthly avg),347.74,6.595,4288,183771,,,,,,,no acs data (2020 gap)
